epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,5087.62,0.77582,0.73924,1.22505,0.61885,0.52444,0.58862,0.40319,1.21034,1.49876,1.58052,0.000594125,0.000594125,0.000594125
161,5119.98,0.79544,0.78734,1.24534,0.58599,0.47857,0.55808,0.38627,1.22549,1.50827,1.57932,0.00059,0.00059,0.00059
162,5151.54,0.78508,0.74426,1.23206,0.57826,0.54368,0.56185,0.38649,1.24186,1.56384,1.62389,0.000585875,0.000585875,0.000585875
163,5181.99,0.77345,0.73705,1.2226,0.64061,0.50489,0.58285,0.38964,1.27392,1.50746,1.64755,0.00058175,0.00058175,0.00058175
164,5212.36,0.78329,0.75112,1.23532,0.56779,0.54884,0.57244,0.39828,1.22912,1.50648,1.61106,0.000577625,0.000577625,0.000577625
165,5243.75,0.76434,0.73334,1.22987,0.59497,0.51025,0.54974,0.374,1.25221,1.58229,1.60985,0.0005735,0.0005735,0.0005735
166,5274.49,0.78711,0.77023,1.23431,0.51618,0.57661,0.55024,0.37991,1.26696,1.60098,1.63572,0.000569375,0.000569375,0.000569375
167,5305.03,0.7863,0.74628,1.23594,0.54693,0.55058,0.55933,0.38753,1.2664,1.5716,1.61619,0.00056525,0.00056525,0.00056525
168,5335.53,0.76433,0.73245,1.21271,0.56689,0.54119,0.56883,0.39347,1.25856,1.51458,1.62089,0.000561125,0.000561125,0.000561125
169,5366.66,0.78423,0.76204,1.22228,0.51356,0.56829,0.55634,0.38752,1.2546,1.55996,1.60117,0.000557,0.000557,0.000557
170,5399.6,0.77628,0.73299,1.22546,0.48356,0.55964,0.5253,0.36479,1.26783,1.5839,1.63461,0.000552875,0.000552875,0.000552875
171,5430.79,0.76907,0.72546,1.22535,0.44724,0.61355,0.53211,0.36612,1.24552,1.55931,1.62461,0.00054875,0.00054875,0.00054875
172,5461.9,0.76296,0.72147,1.22345,0.53853,0.54769,0.52877,0.35534,1.2652,1.6242,1.63166,0.000544625,0.000544625,0.000544625
