                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0487,                 1.2656,                 1.4894,                0.41332,                0.42324,                0.40242,                0.25232,                 1.4858,                  1.895,                 1.8646,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.0581,                 1.2694,                 1.4961,                0.31291,                0.57797,                0.42351,                0.25473,                 1.4153,                 1.8485,                 1.8222,               0.001052,               0.001052,               0.001052
                     50,                 1.0397,                 1.2369,                 1.4791,                0.41942,                0.42239,                0.37539,                0.23871,                 1.3735,                 1.9265,                 1.7675,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.0314,                  1.238,                 1.4702,                0.33751,                0.47651,                0.38325,                0.22864,                 1.4025,                 1.9412,                 1.7686,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.0378,                 1.2232,                 1.4814,                 0.3896,                0.49442,                0.42246,                0.26513,                 1.3711,                 1.8249,                 1.7482,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.0461,                 1.2355,                 1.4734,                0.38674,                0.48855,                0.40138,                0.25094,                 1.3861,                 1.8736,                 1.7727,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.0099,                 1.1901,                 1.4544,                0.40475,                0.48261,                0.39533,                0.23003,                 1.4774,                 1.9323,                 1.8376,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.0305,                 1.1772,                 1.4593,                 0.4159,                0.48809,                0.46099,                0.29746,                 1.3656,                 1.8102,                 1.7701,              0.0010273,              0.0010273,              0.0010273
                     56,                0.99626,                 1.1716,                 1.4444,                 0.4253,                0.50385,                0.45224,                0.27896,                 1.4409,                 1.8071,                 1.8393,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.0301,                 1.1807,                   1.46,                0.47041,                 0.4375,                0.44018,                0.28323,                 1.3939,                 1.8539,                  1.779,               0.001019,               0.001019,               0.001019
                     58,                 1.0107,                 1.1593,                 1.4633,                0.38405,                  0.457,                0.43828,                 0.2884,                 1.3522,                  1.749,                 1.7234,              0.0010149,              0.0010149,              0.0010149
                     59,                0.99696,                  1.142,                 1.4505,                0.39277,                0.50012,                0.43257,                0.28516,                 1.3454,                 1.7712,                 1.7167,              0.0010107,              0.0010107,              0.0010107
                     60,                 0.9958,                 1.1385,                 1.4344,                 0.4041,                0.55367,                0.46353,                0.30282,                 1.3265,                 1.7217,                 1.6985,              0.0010066,              0.0010066,              0.0010066
                     61,                0.99592,                 1.1151,                 1.4312,                0.46005,                0.44398,                0.46284,                 0.3054,                 1.3223,                 1.7771,                 1.6879,              0.0010025,              0.0010025,              0.0010025
                     62,                0.98998,                   1.14,                 1.4209,                 0.4609,                0.41534,                0.43216,                0.27927,                   1.31,                 1.7793,                 1.7069,             0.00099837,             0.00099837,             0.00099837
                     63,                0.99393,                 1.1167,                 1.4515,                 0.4061,                 0.5294,                0.45062,                  0.289,                 1.3846,                 1.7871,                 1.7404,             0.00099425,             0.00099425,             0.00099425
                     64,                0.96685,                 1.0501,                 1.4181,                0.36112,                0.53225,                0.45166,                0.29162,                 1.3732,                  1.818,                 1.7475,             0.00099013,             0.00099013,             0.00099013
                     65,                0.98558,                 1.1311,                 1.4316,                0.41243,                0.51874,                 0.4542,                0.29448,                 1.3423,                  1.773,                 1.7097,               0.000986,               0.000986,               0.000986
                     66,                0.97966,                 1.0793,                 1.4283,                 0.3758,                0.53853,                0.44845,                0.26932,                 1.3895,                 1.8171,                 1.8168,             0.00098187,             0.00098187,             0.00098187
