    56/299    0.493G   0.03613  0.007934   0.01574    0.0598        21       320     0.347    0.3906       0.3    0.1493   0.06696   0.01017   0.02598
    57/299    0.493G   0.03702    0.0079   0.01604   0.06095        22       320    0.3182    0.4362    0.2709    0.1394   0.06754   0.01036   0.02488
    58/299    0.493G   0.03559   0.00802   0.01529    0.0589        24       320    0.2817    0.4399    0.2575    0.1389    0.0681   0.01045   0.02586
    59/299    0.493G   0.03686  0.008092   0.01579   0.06075        12       320    0.3251    0.4499    0.3006    0.1547   0.06673   0.01057   0.02601
    60/299    0.493G   0.03655  0.008067   0.01575   0.06038        12       320     0.341    0.3501    0.2659    0.1309   0.06982   0.01044   0.02695
    61/299    0.493G   0.03571  0.007784   0.01563   0.05913        29       320     0.293    0.5386    0.2966    0.1488   0.06678   0.01053   0.02612
    62/299    0.493G   0.03621  0.008014   0.01553   0.05975        26       320    0.2945    0.4548    0.2831    0.1442   0.06642    0.0108   0.02786
    63/299    0.493G   0.03523  0.007907    0.0152   0.05834        38       320    0.3308     0.348    0.2635    0.1355   0.06718   0.01072   0.02681
    64/299    0.493G   0.03597  0.007619   0.01541   0.05899        31       320    0.3082    0.4152    0.2734    0.1513   0.06727   0.01044   0.02656
    65/299    0.493G   0.03583  0.008011   0.01575   0.05959        20       320    0.2708    0.4424    0.2639    0.1379   0.06654   0.01057   0.02702
    66/299    0.493G   0.03567  0.007886   0.01541   0.05896        15       320    0.3376    0.4567    0.3007    0.1565   0.06632   0.01053   0.02617
    67/299    0.493G   0.03612  0.007785   0.01514   0.05904        19       320    0.3188    0.3887    0.2858    0.1414     0.066    0.0106   0.02763
    68/299    0.493G   0.03598  0.008012   0.01492   0.05891        33       320    0.2388    0.4845    0.2659    0.1452   0.06669   0.01034   0.02794
    69/299    0.493G   0.03562  0.007779   0.01497   0.05837        16       320    0.3219    0.4385     0.287     0.157   0.06521   0.01034    0.0263
    70/299    0.493G   0.03493   0.00803   0.01504     0.058        28       320    0.2903    0.4916    0.2731    0.1442   0.06734   0.01038   0.02671
    71/299    0.493G   0.03481  0.007535   0.01511   0.05746        34       320    0.3732    0.3975    0.3237    0.1707   0.06481    0.0106   0.02598
    72/299    0.493G   0.03505  0.007728    0.0148   0.05759        16       320    0.4429    0.3462    0.3393    0.1807   0.06344   0.01052   0.02651
    73/299    0.493G   0.03513  0.007713    0.0149   0.05774        16       320     0.328    0.4089    0.3137     0.167   0.06422   0.01057    0.0276
    74/299    0.493G   0.03549  0.008113   0.01496   0.05857        18       320    0.4394    0.4393     0.346    0.1938    0.0641   0.01068   0.02492
    75/299    0.493G   0.03485  0.007689    0.0143   0.05684        33       320    0.4336    0.3547    0.3271    0.1716   0.06355   0.01052   0.02583
